MagX:,MagY:,MagZ:,Mag:,is data good?,try it myself,is data good?,,,,,,,
199,-595,-170,399.647,TRUE,650.0199997,TRUE,,,,,,,
198,-597,-169,399.647,TRUE,651.2864193,TRUE,,,,,,,
197,-596,-167,399.647,TRUE,649.5490744,TRUE,,,,,,,
197,-595,-167,399.647,TRUE,648.6316366,TRUE,,,,,,,
198,-597,-170,399.647,TRUE,651.5466215,TRUE,,,,,,,
198,-595,-168,399.647,TRUE,649.1941158,TRUE,,,,,,,
196,-596,-170,399.647,TRUE,650.0246149,TRUE,,,,,,,
198,-597,-168,399.647,TRUE,651.0276492,TRUE,,,,,,,
198,-597,-170,399.647,TRUE,651.5466215,TRUE,,,,,,,
199,-596,-171,399.647,TRUE,651.1973587,TRUE,,,,,,,
197,-595,-170,399.647,TRUE,649.4105019,TRUE,,,,,,,
199,-595,-169,399.647,TRUE,649.7591862,TRUE,,,,,,,
197,-597,-168,399.647,TRUE,650.7242119,TRUE,,,,,,,
199,-596,-170,399.647,TRUE,650.9354807,TRUE,,,,,,,
200,-597,-170,399.647,TRUE,652.1571896,TRUE,,,,,,,
199,-596,-170,399.647,TRUE,650.9354807,TRUE,,,,,,,
199,-596,-170,399.647,TRUE,650.9354807,TRUE,,,,,,,
197,-596,-170,399.647,TRUE,650.3268409,TRUE,,,,,,,
199,-596,-171,399.647,TRUE,651.1973587,TRUE,,,,,,,
197,-597,-169,399.647,TRUE,650.9831027,TRUE,,,,,,,
199,-594,-170,399.647,TRUE,649.1047681,TRUE,,,,,,,
195,-596,-175,399.647,TRUE,651.0499213,TRUE,,,,,,,
202,-596,-176,399.647,TRUE,653.4493094,TRUE,,,,,,,
172,-594,-193,399.647,TRUE,647.8186475,TRUE,,,,,,,
126,-607,-212,399.647,TRUE,655.1862331,TRUE,,,,,,,
115,-622,-223,399.647,TRUE,670.6996347,TRUE,,,,,,,
66,-625,-225,399.647,TRUE,667.5372649,TRUE,,,,,,,
41,-640,-239,399.647,TRUE,684.3990064,TRUE,,,,,,,
-7,-647,-250,399.647,TRUE,693.6555341,TRUE,,,,,,,
-16,-659,-235,399.647,TRUE,699.8299794,TRUE,,,,,,,
-6,-661,-237,399.647,TRUE,702.2293073,TRUE,,,,,,,
24,-657,-228,399.647,TRUE,695.8512772,TRUE,,,,,,,
39,-654,-229,399.647,TRUE,694.0302587,TRUE,,,,,,,
69,-649,-226,399.647,TRUE,690.6793757,TRUE,,,,,,,
72,-641,-256,399.647,TRUE,693.9747834,TRUE,,,,,,,
75,-636,-266,399.647,TRUE,693.4529544,TRUE,,,,,,,
77,-634,-274,399.647,TRUE,694.9539553,TRUE,,,,,,,
86,-635,-275,399.647,TRUE,697.3134159,TRUE,,,,,,,
92,-629,-278,399.647,TRUE,693.8220233,TRUE,,,,,,,
89,-625,-277,399.647,TRUE,689.4019147,TRUE,,,,,,,
90,-627,-278,399.647,TRUE,691.7463408,TRUE,,,,,,,
93,-627,-279,399.647,TRUE,692.5453054,TRUE,,,,,,,
90,-627,-278,399.647,TRUE,691.7463408,TRUE,,,,,,,
93,-627,-277,399.647,TRUE,691.7420039,TRUE,,,,,,,
93,-626,-278,399.647,TRUE,691.2372964,TRUE,,,,,,,
92,-627,-281,399.647,TRUE,693.2200228,TRUE,,,,,,,
89,-626,-284,399.647,TRUE,693.1471705,TRUE,,,,,,,
87,-628,-285,399.647,TRUE,695.1100632,TRUE,,,,,,,
84,-628,-287,399.647,TRUE,695.5638001,TRUE,,,,,,,
89,-628,-287,399.647,TRUE,696.1853202,TRUE,,,,,,,
95,-628,-285,399.647,TRUE,696.1565916,TRUE,,,,,,,
91,-625,-287,399.647,TRUE,693.7398648,TRUE,,,,,,,
89,-625,-285,399.647,TRUE,692.6550368,TRUE,,,,,,,
86,-625,-285,399.647,TRUE,692.2759565,TRUE,,,,,,,
80,-625,-290,399.647,TRUE,693.6317467,TRUE,,,,,,,
78,-629,-289,399.647,TRUE,696.5960092,TRUE,,,,,,,
67,-632,-285,399.647,TRUE,696.518485,TRUE,,,,,,,
53,-638,-281,399.647,TRUE,699.1523439,TRUE,,,,,,,
37,-642,-276,399.647,TRUE,699.792112,TRUE,,,,,,,
31,-646,-285,399.647,TRUE,706.7545543,TRUE,,,,,,,
11,-646,-297,399.647,TRUE,711.0878989,TRUE,,,,,,,
8,-648,-312,399.647,TRUE,719.2440476,TRUE,,,,,,,
-11,-646,-310,399.647,TRUE,716.6149594,TRUE,,,,,,,
-15,-652,-310,399.647,TRUE,722.1004085,TRUE,,,,,,,
-30,-648,-320,399.647,TRUE,723.3284178,TRUE,,,,,,,
-40,-650,-338,399.647,TRUE,733.7192924,TRUE,,,,,,,
-46,-649,-345,399.647,TRUE,736.4387279,TRUE,,,,,,,
